Family,Scientific Name,9-Oct,10-Oct,11-Oct,12-Oct,13-Oct,14-Oct,15-Oct,Factor
Papilionidae,Graphium antiphates,,,,,,,1,1
Papilionidae,Graphium doson,,1,,,,,,1
Papilionidae,Graphium sarpedon,,1,,,,,,1
Papilionidae,Graphium stratiotes,,,,,2,2,,1
Papilionidae,Lamproptera meges,,,,,1,1,1,1
Papilionidae,Papilio acheron,,,,,,,1,1
Papilionidae,Papilio demoleus,1,,,,,,,1
Papilionidae,Papilio demolion,,,,,1,,,1
Papilionidae,Papilio helenus,,,,,1,1,,1
Papilionidae,Papilio memnon,,1,,,,,1,1
Papilionidae,Papilio nephelus,,,,,1,,,1
Papilionidae,Papilio palinurus,,,,,1,,,1
Papilionidae,Trogonoptera brookiana,,1,2,,,,,1
Papilionidae,Troides amphrysus,1,,,,,,,1
Papilionidae,Troides andromache,,,,,,1,,1
Pieridae,Appias cardena,,,,,1,1,,2
Pieridae,Appias lyncida,,1,,,,,,2
Pieridae,Cepora iudith,,,,1,,,,2
Pieridae,Gandaca harina,,,,1,,,,2
Pieridae,Leptosia nina,,1,,,,,,2
Pieridae,Prioneris cornelia,,,,,1,,,2
Nymphalidae,Amnosia decora,,,,,1,1,,3
Nymphalidae,Athyma perius,1,,,,,,,3
Nymphalidae,Charaxes bernardus,,,,,,,1,3
Nymphalidae,Chersonesia intermedia,,,,1,,,,3
Nymphalidae,Cirrochroa orissa,,,1,,,,,3
Nymphalidae,Cupha erymanthis,1,,1,,1,,,3
Nymphalidae,Cyrestis maenalis,,,,,1,2,,3
Nymphalidae,Cyrestis nivea,,,,,1,,,3
Nymphalidae,Dichorragia nesimachus,,,,,1,,,3
Nymphalidae,Erites argentina,,,,1,,,,3
Nymphalidae,Euthalia kanda,,1,,,,,,3
Nymphalidae,Faunis kirata,,,,1,,,,3
Nymphalidae,Hypolimnas bolina,1,1,,,,,,3
Nymphalidae,Idea stolli,,1,,,,,,3
Nymphalidae,Ideopsis vulgaris,,,2,,,,,3
Nymphalidae,Junonia hedonia,1,,1,,,,,3
Nymphalidae,Junonia iphita,,,,,1,,,3
Nymphalidae,Junonia orithya,1,,,,,,,3
Nymphalidae,Kallima buxtoni,,,,1,1,,,3
Nymphalidae,Lebadea martha,,,,1,,,,3
Nymphalidae,Lexias canescens,,1,,,,,,3
Nymphalidae,Lexias dirtea,,,2,,1,2,,3
Nymphalidae,Libythea myrrha,,,,,1,,,3
Nymphalidae,Mycalesis maianeas,,,,1,,,,3
Nymphalidae,Mycalesis orseis,,1,1,,,1,,3
Nymphalidae,Mycalesis pitana,,,,,1,1,,3
Nymphalidae,Neorina lowii,,,,,,,1,3
Nymphalidae,Parantica aspasia,,,1,,,,,3
Nymphalidae,Parthenos sylvia,,1,,,,,,3
Nymphalidae,Polyura athamas,,1,,,,,,3
Nymphalidae,Ragadia annulata,,,,,,,1,3
Nymphalidae,Ragadia makuta,,3,,,1,,1,3
Nymphalidae,Symbrenthia hypselis,,,,,1,1,,3
Nymphalidae,Taenaris horsfieldii,,,,1,1,,,3
Nymphalidae,Tanaecia iapis,,,,,,1,,3
Nymphalidae,Tanaecia orphne,,,1,,,,,3
Nymphalidae,Telinga janardana,,,,,,1,,3
Nymphalidae,Thaumantis noureddin,,,,1,,,,3
Nymphalidae,Thaumantis odana,,,1,,,,,3
Nymphalidae,Thauria aliris,,1,,,,,,3
Nymphalidae,Vindula dejone,1,1,,,,,,3
Nymphalidae,Vindula erota,,,,,1,,,3
Nymphalidae,Xanthotaenia busiris,,2,,,1,,,3
Nymphalidae,Ypthima fasciata,,1,2,,,1,,3
Nymphalidae,Ypthima pandocus,,,1,,,,,3
Riodinidae,Zemeros emesoides,,,1,,,,,4
Riodinidae,Zemeros flegyas,,1,,,1,,,4
Lycaenidae,Allotinus brooksi,,,,1,,,,5
Lycaenidae,Allotinus otsukai,,,,,1,,,5
Lycaenidae,Ancema blanka,,,,1,1,,,5
Lycaenidae,Anthene lycaenina,,,,,1,1,,5
Lycaenidae,Araotes lapithis,,,1,,,,,5
Lycaenidae,Arhopala kinabala,,,,,,,1,5
Lycaenidae,Arhopala paraganesa,,,1,,,,,5
Lycaenidae,Caleta elna,,,,,,1,,5
Lycaenidae,Caleta manovus,,2,,,,,,5
Lycaenidae,Catopyrops ancyra,1,,,,1,,,5
Lycaenidae,Celastrina algernoni,,,,,,1,,5
Lycaenidae,Celastrina lavendularis,,,,1,,1,,5
Lycaenidae,Discolampa ethion,,,,,1,,,5
Lycaenidae,Drupadia ravindra,,1,,,,,,5
Lycaenidae,Drupadia theda,,,1,,,,,5
Lycaenidae,Eooxylides tharis,,2,,,,,,5
Lycaenidae,Ionolyce helicon,,,,1,1,1,,5
Lycaenidae,Iraota distanti,,,1,,,,,5
Lycaenidae,Jamides alecto,1,,1,,2,2,1,5
Lycaenidae,Jamides aratus,,1,,,,,,5
Lycaenidae,Jamides caeruleus,,,,,,1,,5
Lycaenidae,Jamides lugine,,,1,,,,,5
Lycaenidae,Jamides talinga,,1,1,,,,,5
Lycaenidae,Logania regina,,,,1,,,,5
Lycaenidae,Luthrodes pandava,1,,,,,,,5
Lycaenidae,Manto hypoleuca,1,,,,,,,5
Lycaenidae,Nacaduba angusta,,,1,,,,,5
Lycaenidae,Pithecops corvus,,,,,1,1,,5
Lycaenidae,Plautella cossaea,,,,,1,,,5
Lycaenidae,Prosotas bhutea,,,,,1,,,5
Lycaenidae,Prosotas nora,1,,,1,2,,1,5
Lycaenidae,Rapala dieneces,,,1,,,,,5
Lycaenidae,Simiskina pharyge,,,,,,1,,5
Lycaenidae,Udara dilectissima,,,,,1,1,,5
Lycaenidae,Udara selma,,,,,1,1,,5
Lycaenidae,Una usta,,,,,,1,,5
Lycaenidae,Zizina otis,1,,,,1,,1,5
Hesperiidae,Ancistroides nigrita,,1,,,1,,,6
Hesperiidae,Hasora salanga,,,,1,1,,,6
Hesperiidae,Hasora schoenherr,,,,1,2,1,1,6
Hesperiidae,Koruthaialos rubecula,,1,,,,,,6
Hesperiidae,Mooreana trichoneura,,,,,1,,,6
Hesperiidae,Notocrypta paralysos,,1,1,,,,,6
Hesperiidae,Odontoptilum pygela,,,,1,,1,,6
Hesperiidae,Pirdana albicornis,,,,,,,1,6
Hesperiidae,Pseudocoladenia dan,,1,,,,,,6
Hesperiidae,Taractrocera luzonensis,1,1,,,,,,6
Hesperiidae,Udaspes folus,,1,,,,,,6
